episode,reward,steps,total_steps
405,-27.85910697255678,200,81000
406,-29.701793807198364,200,81200
407,-25.553891424754617,200,81400
408,-28.66462727078394,200,81600
409,-29.048060852928618,200,81800
410,-29.775325292767203,200,82000
411,-29.74137197946715,200,82200
412,-28.079472398036636,200,82400
413,-29.125917650184633,200,82600
414,-31.436315039321233,200,82800
415,-28.909832921029526,200,83000
416,-27.697579049541307,200,83200
417,-27.10830598547545,200,83400
418,-25.89928547691801,200,83600
419,-30.487332620819775,200,83800
420,-30.488760394342656,200,84000
421,-27.424488771963876,200,84200
422,-29.20567433572843,200,84400
423,-28.933466453680218,200,84600
424,-27.941923276555947,200,84800
425,-29.50406662045101,200,85000
426,-30.541760256847713,200,85200
427,-30.574036741146653,200,85400
428,-27.590881565595925,200,85600
429,-29.381504779266848,200,85800
430,-26.939663197839433,200,86000
431,-28.462198214396917,200,86200
432,-25.49470745464526,200,86400
433,-27.186284505406586,200,86600
434,-31.2181443245099,200,86800
435,-28.285827425528783,200,87000
436,-29.555993117070773,200,87200
437,-28.961926885213042,200,87400
438,-28.407494572995986,200,87600
439,-28.89483013539632,200,87800
440,-29.695332552342027,200,88000
441,-27.653674823580566,200,88200
442,-28.766345984712554,200,88400
443,-29.197773454499544,200,88600
444,-30.424904627971962,200,88800
445,-28.60495691185656,200,89000
446,-28.72389373800776,200,89200
447,-26.997079372822668,200,89400
448,-30.4641966381953,200,89600
449,-29.594600630059567,200,89800
450,-25.311410288515972,200,90000
451,-27.430659558325733,200,90200
452,-24.65161364281472,200,90400
453,-27.516586620563935,200,90600
454,-29.83022656267605,200,90800
455,-28.401332374393625,200,91000
456,-29.106933674298833,200,91200
457,-29.88646603310062,200,91400
458,-29.571719077583968,200,91600
459,-25.997370988462194,200,91800
460,-29.115441785633504,200,92000
461,-27.204683890868605,200,92200
462,-30.739914644466968,200,92400
463,-26.675479144384976,200,92600
464,-27.32837871484165,200,92800
465,-27.779078648307337,200,93000
466,-28.63312198056015,200,93200
467,-28.311318766127386,200,93400
468,-29.384830266390388,200,93600
469,-26.988840475317396,200,93800
470,-30.358189090972907,200,94000
471,-29.507276292078846,200,94200
472,-29.549837941180314,200,94400
473,-28.01703048171842,200,94600
474,-29.476766857693992,200,94800
475,-28.598585688638078,200,95000
476,-25.57443435795721,200,95200
477,-27.54549083678418,200,95400
478,-25.050900047067515,200,95600
479,-25.907497579722268,200,95800
480,-26.973984937067673,200,96000
481,-25.406865449666036,200,96200
482,-28.424641552623548,200,96400
483,-25.4642552133195,200,96600
484,-27.77666478838148,200,96800
485,-25.404094916785983,200,97000
486,-27.936819985792045,200,97200
487,-27.99019115215339,200,97400
488,-27.99628917026039,200,97600
489,-27.04966402147153,200,97800
490,-29.640857288374196,200,98000
491,-25.015020254318348,200,98200
492,-25.188689482941683,200,98400
493,-27.490072400786257,200,98600
494,-25.79491614912245,200,98800
495,-28.686142022654845,200,99000
496,-26.38861868472091,200,99200
497,-27.774886557931012,200,99400
498,-25.31797071040476,200,99600
499,-28.65609082917523,200,99800
500,-27.022036909529415,200,100000
501,-27.220076682754545,200,100200
502,-26.487230207797637,200,100400
503,-27.357996983438387,200,100600
504,-27.305566684803114,200,100800
505,-25.718084198595125,200,101000
506,-24.961112821018975,200,101200
507,-24.07313322932632,200,101400
508,-26.16868228636187,200,101600
509,-29.706621391029966,200,101800
510,-27.030033664459175,200,102000
511,-29.113434857807345,200,102200
512,-26.03073054391522,200,102400
513,-26.9103551223683,200,102600
514,-26.444088479234605,200,102800
515,-24.718107440500827,200,103000
516,-25.470611155352053,200,103200
517,-27.22730267373162,200,103400
518,-25.816161244144386,200,103600
519,-26.27350902567878,200,103800
520,-26.049406567487033,200,104000
521,-26.02330519912261,200,104200
522,-26.247215302716302,200,104400
523,-27.890972331431183,200,104600
524,-27.93621795057897,200,104800
525,-26.506715269938393,200,105000
526,-25.745633162438168,200,105200
527,-24.743091297035573,200,105400
528,-27.20461846571034,200,105600
529,-26.083004059963738,200,105800
530,-27.324341241438823,200,106000
531,-27.942643456208152,200,106200
532,-27.94588463888756,200,106400
533,-25.13758144555076,200,106600
534,-28.541042448297713,200,106800
535,-25.612010446177493,200,107000
536,-28.519266510399863,200,107200
537,-29.549806700394406,200,107400
538,-25.937603936917363,200,107600
539,-26.162689117614168,200,107800
540,-27.69869542059624,200,108000
541,-27.459744152302626,200,108200
542,-28.847127106284237,200,108400
543,-26.746071026052665,200,108600
544,-27.01601393706566,200,108800
545,-24.288575335748174,200,109000
546,-27.730416727438616,200,109200
547,-26.66449895815108,200,109400
548,-28.23165857213449,200,109600
549,-27.893644455226223,200,109800
550,-25.224986267195113,200,110000
551,-26.98823162983738,200,110200
552,-25.694964368063328,200,110400
553,-27.061945601840986,200,110600
554,-25.438699353948152,200,110800
555,-31.023628099268894,200,111000
556,-26.996800537842745,200,111200
557,-27.245234424747977,200,111400
558,-27.73816247037063,200,111600
559,-27.365944551853733,200,111800
560,-24.244341195441187,200,112000
561,-25.697112097731708,200,112200
562,-24.27247826523714,200,112400
563,-23.356786315640527,200,112600
564,-23.25195128645838,200,112800
565,-25.113700381797244,200,113000
566,-25.36607121068076,200,113200
567,-25.64360972859476,200,113400
568,-24.472708191615194,200,113600
569,-25.419453936178964,200,113800
570,-27.209178894427463,200,114000
571,-24.622958905413952,200,114200
572,-25.00458699674439,200,114400
573,-25.37590819486554,200,114600
574,-26.357448737345802,200,114800
575,-25.817274544569116,200,115000
576,-23.514078361735233,200,115200
577,-25.037098275852937,200,115400
578,-25.581967308834457,200,115600
579,-25.427168957608828,200,115800
580,-24.200855990300745,200,116000
581,-22.97272637503911,200,116200
582,-26.11794006283656,200,116400
583,-24.612911760801563,200,116600
584,-24.31062726076791,200,116800
585,-25.651709245510787,200,117000
586,-28.11107212495962,200,117200
587,-24.996608714272558,200,117400
588,-28.009474913310136,200,117600
589,-29.225642569061645,200,117800
590,-28.141443429796183,200,118000
591,-27.448253202354657,200,118200
592,-25.6904774931193,200,118400
593,-26.43693911077638,200,118600
594,-26.734878908103255,200,118800
595,-28.805089641612845,200,119000
596,-25.7095969979091,200,119200
597,-26.37217115823502,200,119400
598,-24.74726276661103,200,119600
599,-26.565242732379982,200,119800
600,-26.108059950019502,200,120000
601,-26.58761744405974,200,120200
602,-24.06882364856123,200,120400
603,-26.424034051252537,200,120600
604,-24.756271157530126,200,120800
605,-24.615164442811423,200,121000
606,-25.507163048569552,200,121200
607,-24.296186465204574,200,121400
608,-25.23453993878449,200,121600
609,-25.78429244307442,200,121800
610,-27.79617761408622,200,122000
611,-26.006691302975213,200,122200
612,-23.445440198004196,200,122400
613,-26.54474183377139,200,122600
614,-25.628718985895116,200,122800
615,-22.60422549367593,200,123000
616,-24.632321479780302,200,123200
617,-27.337656544488663,200,123400
618,-23.496351716230258,200,123600
619,-24.398563040161548,200,123800
620,-23.15945212708209,200,124000
621,-24.505045504289946,200,124200
622,-25.33448305117304,200,124400
623,-25.821525052597604,200,124600
624,-25.403051552493924,200,124800
625,-22.358824492303036,200,125000
626,-21.9535786954523,200,125200
627,-26.172072844251446,200,125400
628,-25.294144331619627,200,125600
629,-25.708670808674903,200,125800
630,-22.682727209521108,200,126000
631,-26.53530938479838,200,126200
632,-25.401506830031813,200,126400
633,-25.839057887208405,200,126600
634,-25.87487200424599,200,126800
635,-26.330372374826293,200,127000
636,-26.176921739746714,200,127200
637,-24.87564959555698,200,127400
638,-27.81218595952401,200,127600
639,-24.60652002916332,200,127800
640,-24.33107033786068,200,128000
641,-24.76229468997045,200,128200
642,-26.280621231852013,200,128400
643,-26.473398704413196,200,128600
644,-26.12276082936918,200,128800
645,-22.798224077291852,200,129000
646,-23.117788083603305,200,129200
647,-25.75916726708347,200,129400
648,-25.135378486809234,200,129600
649,-23.54829637639807,200,129800
650,-24.737008259584233,200,130000
651,-23.299191933125467,200,130200
652,-25.250320223547583,200,130400
653,-24.68024099645449,200,130600
654,-24.378008276833395,200,130800
655,-26.21480727163438,200,131000
656,-23.482320694386043,200,131200
657,-25.564921600449118,200,131400
658,-26.51138463227219,200,131600
659,-25.157299923949754,200,131800
660,-25.45306872573826,200,132000
661,-25.78806107147262,200,132200
662,-23.12838072012003,200,132400
663,-22.53491764017665,200,132600
664,-21.501790163992293,200,132800
665,-24.673931926688162,200,133000
666,-24.280347445399194,200,133200
667,-25.758349482043553,200,133400
668,-22.727879788305085,200,133600
669,-25.519532134718855,200,133800
670,-24.37898385771018,200,134000
671,-25.179816567073487,200,134200
672,-27.500961306829012,200,134400
673,-24.092037668786443,200,134600
674,-26.4585933057442,200,134800
675,-24.218502813430433,200,135000
676,-25.42747287888525,200,135200
677,-25.21947997208684,200,135400
678,-24.85875478340799,200,135600
679,-25.078008486052067,200,135800
680,-25.085198509832885,200,136000
681,-27.2980914542797,200,136200
682,-25.88921572084192,200,136400
683,-26.434442817837894,200,136600
684,-24.539358177634035,200,136800
685,-25.32531508315814,200,137000
686,-26.254008345949565,200,137200
687,-23.5898943830786,200,137400
688,-29.013826187412352,200,137600
689,-24.99969561917437,200,137800
690,-24.881911357748056,200,138000
691,-25.757519305079153,200,138200
692,-25.5090726693071,200,138400
693,-26.41292583281309,200,138600
694,-24.365348898535753,200,138800
695,-25.52774412579404,200,139000
696,-26.769543083681395,200,139200
697,-26.6722010586505,200,139400
698,-27.43274417798679,200,139600
699,-23.45513014454858,200,139800
700,-25.549322980972132,200,140000
701,-28.69214569399527,200,140200
702,-25.965342334322866,200,140400
703,-25.67493896691976,200,140600
704,-25.032992475842946,200,140800
705,-25.231374117469795,200,141000
706,-25.668298007192718,200,141200
707,-24.721359286085487,200,141400
708,-25.520630117126263,200,141600
709,-25.924176337620704,200,141800
710,-27.600706881063363,200,142000
711,-27.67987756614005,200,142200
712,-25.336589954241017,200,142400
713,-26.30681898195198,200,142600
714,-27.290675106132905,200,142800
715,-26.926633480502183,200,143000
716,-26.065517095652137,200,143200
717,-24.631387906565532,200,143400
718,-26.146203116790513,200,143600
719,-23.54758615035898,200,143800
720,-25.45942849411591,200,144000
721,-24.70750134153028,200,144200
722,-22.279501880400716,200,144400
723,-25.343496820488674,200,144600
724,-25.9424025701775,200,144800
725,-27.13566292996838,200,145000
726,-23.512734000481604,200,145200
727,-22.47055899408035,200,145400
728,-24.697994878344254,200,145600
729,-23.724310410074924,200,145800
730,-24.80762856868677,200,146000
731,-24.873408655851463,200,146200
732,-26.488443912724776,200,146400
733,-24.093294861062745,200,146600
734,-24.91128967022349,200,146800
735,-26.615008770682977,200,147000
736,-25.871790513727216,200,147200
737,-24.66239659289966,200,147400
738,-24.469206618007817,200,147600
739,-26.993446758059694,200,147800
740,-26.620464393130547,200,148000
741,-27.05407507689604,200,148200
742,-23.81301473435226,200,148400
743,-25.13382843092476,200,148600
744,-26.093968153940114,200,148800
