episode,reward,steps,total_steps
873,-24.814203382312495,200,174600
874,-25.135718670302836,200,174800
875,-25.477965122641553,200,175000
876,-22.03204736721643,200,175200
877,-23.870939988011422,200,175400
878,-24.825776222164553,200,175600
879,-25.130090132713306,200,175800
880,-26.072307712191016,200,176000
881,-25.953382494190045,200,176200
882,-25.873056911872602,200,176400
883,-25.420505982264014,200,176600
884,-25.925070129671905,200,176800
885,-28.407265893368727,200,177000
886,-25.697343002760043,200,177200
887,-25.932930739539238,200,177400
888,-25.057090550592065,200,177600
889,-28.65591026260463,200,177800
890,-25.253700861246273,200,178000
891,-25.101926217931325,200,178200
892,-23.358034806636287,200,178400
893,-24.25223597423433,200,178600
894,-24.2328604188067,200,178800
895,-25.566682815834817,200,179000
896,-25.41745167176461,200,179200
897,-23.11107694289698,200,179400
898,-27.364097521371082,200,179600
899,-23.371379821071972,200,179800
900,-23.468309256871446,200,180000
901,-23.076900611852626,200,180200
902,-23.62607904653753,200,180400
903,-26.287661600325016,200,180600
904,-26.09065089199667,200,180800
905,-29.240120634239336,200,181000
906,-26.735693773610844,200,181200
907,-25.94465355261498,200,181400
908,-24.073729248718074,200,181600
909,-25.685252258689403,200,181800
910,-26.47860479815422,200,182000
911,-23.99181152675592,200,182200
912,-24.22537040105023,200,182400
913,-21.803885725262234,200,182600
914,-24.26052171663006,200,182800
915,-23.143920198930527,200,183000
916,-21.432251563737676,200,183200
917,-24.708027889170033,200,183400
918,-25.39484740240982,200,183600
919,-24.72115758772981,200,183800
920,-25.141919545596217,200,184000
921,-24.947257488561483,200,184200
922,-23.3867373690529,200,184400
923,-24.276284018903038,200,184600
924,-23.371581384802056,200,184800
925,-24.737045598395195,200,185000
926,-24.108893910655475,200,185200
927,-24.76967903141802,200,185400
928,-24.92003010431984,200,185600
929,-23.908561287845902,200,185800
930,-24.108200873135647,200,186000
931,-23.181150468881924,200,186200
932,-22.874576688707194,200,186400
933,-25.88291684567535,200,186600
934,-26.539767299218855,200,186800
935,-24.702003115315208,200,187000
936,-26.111444903089343,200,187200
937,-23.37251627255613,200,187400
938,-25.35288082605712,200,187600
939,-24.706168516349184,200,187800
940,-25.738429603430475,200,188000
941,-24.94550948139133,200,188200
942,-24.823992076112358,200,188400
943,-23.710902752552578,200,188600
944,-25.933142109214966,200,188800
945,-24.58386426856446,200,189000
946,-23.81083650047479,200,189200
947,-24.403536269505285,200,189400
948,-25.110412406199554,200,189600
949,-25.383243882685182,200,189800
950,-27.174575580935738,200,190000
951,-24.6102675825637,200,190200
952,-25.12047411128011,200,190400
953,-26.050959927479468,200,190600
954,-23.537846276248022,200,190800
955,-22.914164089204064,200,191000
956,-24.426524542128675,200,191200
957,-22.4875490997804,200,191400
958,-23.575668054851846,200,191600
959,-22.967252718772304,200,191800
960,-23.713104490591565,200,192000
961,-22.491235936785962,200,192200
962,-24.00361038741724,200,192400
963,-25.40314278513207,200,192600
964,-25.441911248774804,200,192800
965,-24.767870328085944,200,193000
966,-24.360450936481843,200,193200
967,-24.49020185648008,200,193400
968,-21.247962090215175,200,193600
969,-24.3892517109106,200,193800
970,-24.679609533646353,200,194000
971,-25.658491332924154,200,194200
972,-24.9773536353978,200,194400
973,-24.765512646364062,200,194600
974,-26.249682921323092,200,194800
975,-24.25520511367549,200,195000
976,-23.5144397320101,200,195200
977,-24.332129092673775,200,195400
978,-24.75630910091952,200,195600
979,-23.540533618673447,200,195800
980,-23.944134503288144,200,196000
981,-21.65073112422852,200,196200
982,-25.379252548660048,200,196400
983,-26.670456120996715,200,196600
984,-23.987786459274627,200,196800
985,-24.554947456314185,200,197000
986,-21.905568010078817,200,197200
987,-25.31579210653431,200,197400
988,-22.240813485688705,200,197600
989,-22.35017081967004,200,197800
990,-24.089387447298652,200,198000
991,-22.4457893051598,200,198200
992,-21.274354200881064,200,198400
993,-21.95335687584926,200,198600
994,-21.22264710325839,200,198800
995,-24.88095224961406,200,199000
996,-23.52922252956567,200,199200
997,-24.085187264878712,200,199400
998,-24.8770743972852,200,199600
999,-23.455979958363383,200,199800
1000,-22.636414898279607,200,200000
