step,df,V,P,Q,I,action,reward,load_disturbance
23,-0.001713958103209734,0.9975522756576538,0.5527238249778748,0.18547053635120392,0.5844425559043884,-0.00019711942877620459,-0.00011869041207802705,0.0
24,-0.0024413117207586765,0.9972721934318542,0.5534297823905945,0.18637654185295105,0.5855671763420105,-0.0002741801436059177,-0.0001936493983118397,0.0
25,-0.0011554703814908862,0.997686505317688,0.5493870377540588,0.18408924341201782,0.5807527303695679,-0.00015136190631892532,-8.024017626141997e-05,0.0
26,-0.0003928737423848361,0.999407947063446,0.5506865382194519,0.17736293375492096,0.5788868069648743,-0.00045226357178762555,-6.712338301207491e-06,0.0
27,-0.0016060244524851441,0.9998668432235718,0.551034688949585,0.17874225974082947,0.579376757144928,-0.0006410057540051639,-5.1976142099655364e-05,0.0
28,-0.00046486736391671,0.9997468590736389,0.5532537698745728,0.1790131777524948,0.5816413760185242,-0.00047065463149920106,-5.0794604632474984e-06,0.0
29,-0.002168430248275399,0.998502254486084,0.5467076897621155,0.18112200498580933,0.5767931342124939,-0.0005413227481767535,-0.00011662113816732436,0.0
30,-0.0014487066073343158,0.9989127516746521,0.5492075085639954,0.18429991602897644,0.5799364447593689,-0.0004621775005944073,-5.390358668072211e-05,0.0
31,-0.0019735791720449924,0.9979645609855652,0.5546483397483826,0.18318027257919312,0.5853058695793152,-0.00043234540498815477,-0.00011942326912841806,0.0
32,0.00018154265126213431,0.9992537498474121,0.5460569858551025,0.18363067507743835,0.5765364766120911,-0.00023668093490414321,-6.263480974846445e-06,0.0
33,0.0014222052413970232,0.9992467164993286,0.5537760853767395,0.18425552546977997,0.5840648412704468,-0.0007219491526484489,-4.643521659268262e-05,0.0
34,0.001430337899364531,0.9994965195655823,0.5544891953468323,0.17975068092346191,0.5831903219223022,-0.0006560338661074638,-4.366819058353329e-05,0.0
35,0.0007581405225209892,0.9994171857833862,0.5529313087463379,0.1852184385061264,0.5834685564041138,-0.0007172637851908803,-1.5149940847283184e-05,0.0
36,0.0012625220697373152,0.9983593821525574,0.5570964217185974,0.18422195315361023,0.5877300500869751,-0.0005853516631759703,-5.897002952818398e-05,0.0
37,-0.0008110051276162267,0.9980051517486572,0.5535340905189514,0.18275509774684906,0.5840883255004883,-0.0005411610472947359,-5.3095483090409587e-05,0.0
